,username,verified,followersCount,rawContent,date,replyCount,retweetCount,likeCount,url,hashtags,game,labels,processed,vader_preprocessing_text,vader_neg,vader_neu,vader_pos,vader_comp,class,TextBlob_Subjectivity,TextBlob_Polarity,TextBlob_Analysis,final_class
39,miss_neko_nadi,False,572,"I want to be able to sit on a chair, by the mermaid fountain or even on the floor please. @HogwartsLegacy #HogwartLegacy #HogwartsLegacy",11/2/2023 1:29,0,0,0.0,https://twitter.com/miss_neko_nadi/status/1624219149412233216,"['HogwartLegacy', 'HogwartsLegacy']",HGL,0.0,"['i', 'want', 'to', 'be', 'able', 'to', 'sit', 'on', 'a', 'chair', 'by', 'the', 'mermaid', 'fountain', 'or', 'even', 'on', 'the', 'floor', 'please']","i want to be able to sit on a chair, by the mermaid fountain or even on the floor please.   ",0.0,0.816,0.184,0.3818,1,0.625,0.5,1,0.0
18121,sfc16081988,False,142,@ScreenRogue #Uncharted #GodofWar #Spiderman and from the last row - none,17/7/2022 15:29,0,0,0.0,https://twitter.com/sfc16081988/status/1548691402493763585,"['Uncharted', 'GodofWar', 'Spiderman']",GOW,1.0,"['and', 'from', 'the', 'last', 'row', 'none']",    and from the last row - none,0.0,1.0,0.0,0.0,0,0.0666666666666666,0.0,0,1.0
47243,andmedia2,FALSE,91,@Okami13_ Only two things are noteworthy.. #Witcher Next-Gen and #Cyberunk2077: #PhantomLiberty https://t.co/fBHRXm1CDJ,27/11/2022 17:11,0,1,1.0,https://twitter.com/andmedia2/status/1596914520299302912,"['Witcher', 'Cyberunk2077', 'PhantomLiberty']",Cyberpunk,1.0,"['only', 'two', 'things', 'be', 'noteworthy', 'next', 'gen', 'and', 'https', 't', 'co', 'fbhrxm1cd']", only two things are noteworthy..  next-gen and :  ,0.0,1.0,0.0,0.0,0,1.0,0.0,0,1.0
849,WrryWrt73,False,270,I give you the MAGIC OF HOGWARTS LEGACY #HogwartsLegacy https://t.co/cyFlsY2Pqs,17/2/2023 4:57,1,0,4.0,https://twitter.com/WrryWrt73/status/1626445785188401154,['HogwartsLegacy'],HGL,0.0,"['i', 'give', 'you', 'the', 'magic', 'of', 'hogwarts', 'legacy', 'https', 't', 'co', 'cyflsy2pos']",i give you the magic of hogwarts legacy  ,0.0,1.0,0.0,0.0,0,1.0,0.5,1,0.0
18034,DanielleBisutti,True,39211,@stash0606 @LevelUpSignings @corybarlog @iamchrisjudge @E3 @SonySantaMonica @PlayStation A mighty warrior indeed @corybarlog,23/5/2018 2:31,0,0,2.0,https://twitter.com/DanielleBisutti/status/999115676190105601,[],GOW,0.0,"['a', 'mighty', 'warrior', 'indeed']",       a mighty warrior indeed ,0.0,1.0,0.0,0.0,0,0.9,0.4,1,0.0
46439,Bar0n_TheGrey,FALSE,4362,I suspect that @Beetlepimp was one of the #Cyberpunk2077 programmers. #cyberpunk #Cyberbug2077 #CDProjekt #cdprojectred https://t.co/RtWW4Dw90S via @YouTube,10/1/2021 22:10,0,0,0.0,https://twitter.com/Bar0n_TheGrey/status/1348391831994830853,"['Cyberpunk2077', 'cyberpunk', 'Cyberbug2077', 'CDProjekt', 'cdprojectred']",Cyberpunk,0.0,"['i', 'suspect', 'that', 'be', 'one', 'of', 'the', 'programmers', 'https', 't', 'co', 'www4dw90s', 'via']",i suspect that  was one of the  programmers.      via ,0.239,0.761,0.0,-0.296,-1,0.0,0.0,0,0.0
17199,kaykay_slider,False,215,GOD OF WAR WON??? #TheGameAwards https://t.co/STo75FKr7O,7/12/2018 4:48,0,0,0.0,https://twitter.com/kaykay_slider/status/1070902876002750465,['TheGameAwards'],GOW,1.0,"['god', 'of', 'war', 'win', 'https', 't', 'co', 'sto75for7o']",god of war won???  ,0.347,0.089,0.564,0.3485,-1,0.0,0.0,0,1.0
18209,johnathancm,False,373,"@SonySantaMonica just finished Kratos, hope you guys like ?? https://t.co/KFusaIOogl",20/10/2020 18:01,0,0,0.0,https://twitter.com/johnathancm/status/1318613360863252485,[],GOW,0.0,"['just', 'finish', 'rat', 'hope', 'you', 'guy', 'like', 'https', 't', 'co', 'kfusaioogl']"," just finished kratos, hope you guys like ?? ",0.0,0.51,0.49,0.6966,1,0.0,0.0,0,0.0
38611,isaboob01,FALSE,183,me staring at my pixelated character in stardew valley: god i wish that was me,18/2/2023 5:06,0,0,0.0,https://twitter.com/isaboob01/status/1626810464276455424,,Stardew,0.0,"['me', 'star', 'at', 'my', 'pixelated', 'character', 'in', 'start', 'valley', 'god', 'i', 'wish', 'that', 'be', 'me']",me staring at my pixelated character in stardew valley: god i wish that was me,0.0,0.714,0.286,0.5859,1,0.0,0.0,0,0.0
47327,Jokernz_,FALSE,969,Fortnite | The Oathbound II Ã°ÂÂÂ¿: #Fortnite Ã¢ÂÂÃ¯Â¸Â: @EpicGames Ã°ÂÂÂ®: #PS4 Thank you for helping @JayKeyFN Ã°ÂÂÂ #Fortography #VGPNetwork #VGPUnite #VPUnityHub #WorldofVP #VirtualPhotography #PhotoMode #VPNetwork #VPGamers #ThePhotoMode #PSshare #ArtisticofSociety #VPRetweet https://t.co/tlVZbHjVgz,10/3/2023 6:00,1,6,30.0,https://twitter.com/Jokernz_/status/1634071589334446081,"['Fortnite', 'PS4', 'Fortography', 'VGPNetwork', 'VGPUnite', 'VPUnityHub', 'WorldofVP', 'VirtualPhotography', 'PhotoMode', 'VPNetwork', 'VPGamers', 'ThePhotoMode', 'PSshare', 'ArtisticofSociety', 'VPRetweet']",Cyberpunk,0.0,"['footnote', 'the', 'southbound', 'ii', 'd', 'ai', 'd', 'register', 'thank', 'you', 'for', 'help', 'd', 'https', 't', 'co', 'tlvzbhjvgz']","fortnite | the oathbound ii adegaaa?:  aC/aaa-a,a:  adegaaa(r):  thank you for helping  adegaaa              ",0.0,0.68,0.32,0.5719,1,0.0,0.0,0,0.0
