EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:43:21	0.0001	0.8747128205787196	0.8209214806556702	0.6918	0.691	0.6914	0.691
2	10:44:10	0.0000	0.7342730491630965	0.8561440706253052	0.6859	0.6851	0.6855	0.6851
3	10:45:01	0.0000	0.39695126870381303	1.5845997333526611	0.6776	0.6769	0.6772	0.6769
4	10:45:53	0.0000	0.1797362484652726	2.5020620822906494	0.6471	0.6463	0.6467	0.6463
5	10:46:45	0.0000	0.07317751794618188	2.8816728591918945	0.6741	0.6733	0.6737	0.6733
6	10:47:38	0.0000	0.03934663540086235	2.8956947326660156	0.6588	0.658	0.6584	0.658
7	10:48:28	0.0000	0.025036219304382226	3.350558280944824	0.6553	0.6545	0.6549	0.6545
8	10:49:18	0.0000	0.008958631366163788	3.2163877487182617	0.6671	0.6663	0.6667	0.6663
9	10:50:08	0.0000	0.007866599302719749	3.357893943786621	0.6494	0.6486	0.649	0.6486
10	10:50:58	0.0000	0.004125041270414293	3.4166362285614014	0.6682	0.6675	0.6678	0.6675
