,use_col,labels
0,hogwarts legacy flight the good flight silver https t co 9horn79uw,0.0
1,oh and how smooth get on and off the broom be,0.0
2,play endless hours of get me in the mood for some hogwarts life so currently watch philosophers stone,0.0
3,hey how about that for d d 1 2aai,0.0
4,hogwarts legacy flight the good flight silver i love this game https t co v04edwqljc,0.0
5,a message to game devs not everyone have sub 100 ms finger response time we be not all pro fps gamers stupid daedalian key definitely the worst part so far,0.0
6,anyways back to ad 3 4,0.0
7,hogwarts legacy game giveaway pc xbox playstation 2 winners to enter a follow a like rt a to enter for your chance to win click here https t co ufyaur27o9 end 2 days d https t co ew36c7at,0.0
8,favorite pastime collect all playful board in horizon 5 d https t co kk69mabmpq,0.0
9,copy boss fightsddd https t co url8arrow,0.0
10,you all with these battle be hard af by the skin of my damn teeth dd https t co uw4sibgww,0.0
11,hugh jackson bat ryan reynolds in new workout pic amid train for adeadpool 3aa ukraine https t co 3xx0asked,0.0
12,finally get this one before continue to winter https t co edel7nh05,0.0
13,next to finish my drop so i can finally play d de,0.0
14,hogwarts legacy the intrepid explorer bronze hogwarts legacy the end verify the mean silver hogwarts legacy rise to the challenge silver https t co if9ccjipdw,0.0
15,hogwarts legacy walkthrough part 5 trouble at hogsmeade https t co ipac41ep via https t co dkmmop4mi,0.0
16,if you all be so mad at jk bowl just make a boy character and name him tina or vise versa,0.0
17,one thing about my husband be he never smile in picture d he always just be look so tough ukraine yemicregxdu,0.0
18,wesley be our king d https t co by0vi2o,0.0
19,i love but canal seem to play it for long because i have other game iam more interest in i will get back to it eventually though d,0.0
20,play the new hogwarts https t co 3d6dt3hay,0.0
21,ichi brand new video 15 hogwarts legacy secrets amp easter egg many players may have miss https t co dtkedyxj6k https t co how2vu64cu,0.0
22,really like that,1.0
23,nice to see you be also support too kind of make your moral high grind a little bite rotten d,0.0
24,iam a wizard https t co thsjaxtbns,0.0
25,d cake gt i canal help but take picture with the cherry blossom d https t co eaedmxoebf,0.0
26,i try sheet lemon to no avail https t co iyrbypbw6b,0.0
27,lmaz what be this gamergate 2 0,0.0
28,the amaze be the perfect thing to use when play the noise cancel make it so i be fully fully immerse into the game https t co yu5west1r,0.0
29,as a trans the future look real fuck scary right now from hogwarts legacy controversy to the anti trans bill to people claim to be fight for trans right on my behalf but with hate i be scar,0.0
30,so have put in a good few hours into hogwarts legacy and can honestly say that it be well worth the wait and price i have only spot the occasional big easily patch and not too glare iam genuinely in love with this game,1.0
31,so you literally get nothing for 100 complete the merlin trials in that be such a let down,-1.0
32,i be love the music in https t co sruelip7bx,1.0
33,donate hundreds of thousands of pound to save more than a hundred female lawyers amp their families face prosecution after the take control over the country in the aftermath of the 2021 you s evacuation https t co ngdkmbf8om,0.0
34,i love fly mooncalfs so funny https t co mipyucl4i4,0.0
35,hogwarts legacy part 1 the begin ps5 https t co pqsotkmixg via,0.0
36,i have a question that be not relate to bug per se but be there go to be future dlc s for this game or even a new game plus just curious and also it will be awesome,0.0
37,still have not learn to fly yet hopefully soon,0.0
38,the crucial quest crash the character disappear and now it be show as complete and i could not learn the spell the game be full of bug frustrate,-1.0
39,i want to be able to sit on a chair by the mermaid fountain or even on the floor please,0.0
40,the thing i have notice about be how nice everyone be for me rock up to hogwarts 5 years late all the professors and shopkeeper be so nice at get me up to speed with whatever i need big up professor fig https t co ns4ll3c062,0.0
41,my only grape with be that i canal make my character a roadmap imagine the scenes d https t co pm8mspfmgo,0.0
42,i wonder if people hat the game for transphobia ever find out there a trans person in that game https t co muvdhlasx3,0.0
43,i might as well have fight this tournament solo partner could not cast a spell on the side of a barn and hit it,0.0
44,leather stud https t co ou3deemed,0.0
45,game g right here de d https t co dmy0pitch,0.0
46,bug on hogwarts https t co sn3xgcmyem,-1.0
47,i think if whereas one thing that hogwarts legacy have show us be that a game receive multiple delay doesnt mean its go to turn out poorly nor be it in development hell think this narrative be overflow anyway https t co vlqwc9yb4k,1.0
48,i just spend the last hour decorate my room of requirements d,0.0
49,0 7 let us good https t co qh6snqpng3,0.0
50,if you grow up watch harry potter read the book than forall love this game that it plain and simple the map be huge the character customization be outstanding this game give every harry potter fan what they way immersion into the wizard world 100 10 de de,1.0
51,do now onto my hufflepuff character i hear there be a particularly siris location i can visit https t co kcjzntvll6,0.0
52,be this part of the magic in this puzzle d https t co eoxtldonvc,0.0
53,this must be the most epic kill in hogwarts legacy the most brutal takedown in hogwarts https t co x8c17hdfnz via,0.0
54,my brain be 75 currently,1.0
55,just finish story just wow that be fun as hell now onto the side missions that i have not finish yet,1.0
56,100 completion of hogwarts legacy https t co fbcngomync,0.0
57,which site do your asset get freeze on hr tag a index me for help now https t co on2also2a,0.0
58,the beasts class 3 4 https t co znaltro7kf,0.0
59,wishlist 1 photo mode with selfie and vote 2 repel talent 3 bounty hunter replaceable quest scale to player level 4 new game plus or save face of main character 5 dungeon amp loot replaceable quest scale to player level 6 dlc post game https t co zmadfsuxx0,0.0
60,it be require from amazon kadyrov to quit and end amp destroy his people and to destroy putin amp russia force in chechneya amp in russia or be torture from alla alajbar king https t co yymvbbwoa4,0.0
61,everything go good except the peacock i faso go for a dragon or some deadly shit d https t co c729de7n2,0.0
62,hot take hogwarts legacy take the greater elements from mobile game amp aaa rpg and smash it into one hell of a game when i play this i also get a slight genshin feel https t co 6tz20nsh7,0.0
63,happy monday everyone i have upload an extra video over the weekend continue my play through go check it out https t co opfxazvklr,0.0
64,happiness can be find even in the darkest of time if one only remember to turn on the light i be have so much fun play hogwarts legacy and i think it will be the first game that i want to complete entirelydSSaai https t co xxyrqkqc6q,1.0
65,we continue our adventure in we must now move into the highlands but how dangerous be it let us find out together,0.0
66,these puzzle in be break my brain thank god for the internet,0.0
67,new be active i decide to give ya all a 2nd chance over at https t co nidwqw6uz 1 winner will receive a copy of on any system check rule and draw date in pic below on how to enter and if you this post 1 winner will get a 25 wild card old https t co n4bdktydlj,0.0
68,be anyone have crash when they get past the seizure warn on pc,0.0
69,straight up if you play or support or even still enjoy please just throw yourself out the closest 15th floor window thank you sincerely the good angel on your shoulder https t co dkfykzxanb,0.0
70,professor garlic can get it check out jeffinaz81 s video https t co 5qzdwvczic,0.0
71,hogwarts legacy harry potter and the half cis prince https t co w2qw1mbc,0.0
72,professor garlic be fine,0.0
73,could we see a curb your enthusiasm harry potter crossover https t co g92envoy,0.0
74,the high keep be my toughest quest yet,0.0
75,fuck ita couldnt wait https t co bl86tab,0.0
76,i finally get outside of hogwarts the surround area be even more beautiful than the inside of the school this game be beg me to explore fuck the quest ill make my own https t co wgabknezrb,1.0
77,hogwarts legacy the end verify the mean silver https t co ar2gt8wg,0.0
78,i guess i could get on steam but i do not trust steam link,0.0
79,so whereas a bug on hogwarts legacy for the collector trophy not track correctly on the tracker it say 110 603 but in game i only need around 30 more collectibles will the trophy pop still if i get these last collectibles or have people have issue with it,0.0
80,docruciod enjoy learn crucial love it less have it last on me but i could not cast crucial on my beloved sebastian https t co ask32jf9vh,0.0
81,polish dark wizard https t co eyeesvddtf,0.0
82,some beautiful work here go give it a like i will get mine up soon,0.0
83,anybody else get the sudden urge to binge harry potter after play or be that just med,0.0
84,the only ministry approve way of save beat https t co nvpdddmzd6,0.0
85,hhh be really good like really really good i be very surprise at how really good it actually be right back to it da https t co fk11ibwuec,1.0
86,as of now there isnt any plan dlc for hogwarts legacy https t co jeqsnkuiaj https t co t2slpdbfq9,0.0
87,this mission make me sad desk want you to find his friend tombs who be order to work in a spider infest cave by his master after defeat the boss spider we find tombs lose his life to the boss spider leave desk sad https t co 6nhqoqd01r,0.0
88,get my copy of hogwarts legacy https t co xbonzehbob,0.0
89,i need to play this game as soon as possible ddd the ticos be crazy https t co 6yozrfnmwn,0.0
90,show off my first character https t co oq3seqbss,0.0
91,nothing other than work and eat food but now i start play hogwarts legacy what have you be do no more tuna,0.0
92,talk to professor fig ps5 https t co gct0ng8r via,0.0
93,class https t co easy2k4ath,0.0
94,episode 12 out now https t co pmc1emvvcy https t co njjnpshf0u,0.0
95,i be want to get but eh i do not know mannnnnnnn,0.0
96,how well do you know the wizarding world try this quiz of increasingly difficult question https t co 9vleddbeqt,0.0
97,find a float vendor cannot buy and he cannot sell poor lad https t co tg3vec4w3c,0.0
98,as much as i be love what the actual fresh hell be this mfa https t co h11wpg0km,0.0
99,love this game you all see who that be https t co jrxplkctxy,0.0
100,some study have report that the average attention span of adults have decrease from around 12 second in 2000 to around 8 second in 2021 we should run that test again because gamers can play for 20 hrs,0.0
101,hogwarts legacy cast along bronze https t co vztglnykaw,0.0
102,be game of the yr be not no way there be a better game this year,1.0
