EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:29:38	0.0001	0.35185122443774547	0.5292143821716309	0.8425	0.8425	0.8425	0.8425
2	17:35:26	0.0000	0.3118919128058115	0.6045747995376587	0.835	0.835	0.835	0.835
3	17:41:05	0.0000	0.11302998933251487	0.9910652041435242	0.8462	0.8462	0.8462	0.8462
4	17:46:49	0.0000	0.055589343163561095	1.0120151042938232	0.875	0.875	0.875	0.875
5	17:52:34	0.0000	0.04322639649233922	1.2982382774353027	0.8462	0.8462	0.8462	0.8462
6	17:58:17	0.0000	0.019128683562811253	1.3068100214004517	0.8588	0.8588	0.8588	0.8588
7	18:04:00	0.0000	0.02534509868315902	1.296515703201294	0.8562	0.8562	0.8562	0.8562
8	18:09:44	0.0000	0.011444945711780962	1.3827903270721436	0.8538	0.8538	0.8538	0.8538
9	18:15:28	0.0000	0.009540859927895258	1.3653879165649414	0.8562	0.8562	0.8562	0.8562
10	18:21:16	0.0000	0.006034701679909178	1.4023000001907349	0.855	0.855	0.855	0.855
